blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,49,27,53,3.7777777777777777,27,49,28,1.1224489795918366,465624,0,685484,199890,384696,642515,0,0,685484,199890,850320,358020,26.0,35.0
1,26,19,25,2.6842105263157894,18,26,38,2.1538461538461537,0,131131,361496,235648,449878,414050,142909,133848,109128,341598,449878,517283,30.333333333333332,26.0
0,14,26,20,1.3076923076923077,26,14,37,4.5,202099,0,113232,84777,71730,344909,113232,110328,0,195105,273829,196995,27.5,31.5
1,38,32,69,3.34375,32,39,39,1.8205128205128205,204300,0,588030,342036,0,544656,198810,118020,296701,118020,204300,202620,22.666666666666668,35.5
1,22,10,22,4.4,10,22,5,0.6818181818181818,93551,99630,0,33272,64850,72450,0,48375,38480,33272,119921,172080,30.0,25.666666666666668
0,34,35,63,2.7714285714285714,34,34,67,2.9705882352941178,584625,422028,372078,1164184,342954,0,372078,368172,0,1164184,927579,422028,37.333333333333336,31.0
0,23,36,35,1.6111111111111112,36,23,66,4.434782608695652,370365,367009,137800,175770,0,389310,131066,0,81631,0,426534,580549,33.4,35.4
0,22,47,22,0.9361702127659575,47,22,54,4.590909090909091,161994,249680,119460,246544,207495,450153,138957,0,138957,409924,369489,536453,35.6,33.0
1,32,24,52,3.5,24,32,33,1.78125,106992,241518,378681,0,198075,145860,586122,276692,106992,0,0,241518,36.4,33.333333333333336
0,26,42,39,1.5476190476190477,42,26,59,3.8846153846153846,181090,396433,308508,0,363960,161042,331268,0,111708,0,181090,557475,38.0,33.6
1,27,17,62,5.235294117647059,17,27,31,1.7777777777777777,0,162624,328798,67940,539956,317302,167636,92543,132808,67940,343966,331856,32.0,34.0
0,3,8,5,1.0,8,3,9,5.666666666666667,35472,0,159813,135698,53064,141507,39416,49626,88913,135698,159436,141507,37.0,35.75
0,23,44,37,1.3636363636363635,44,23,57,4.391304347826087,88924,111108,271973,477096,236520,171822,271973,376107,0,217560,325444,370644,34.0,33.75
1,19,7,25,6.285714285714286,7,19,5,0.631578947368421,109429,14934,71400,127077,83798,0,166067,38736,71400,14934,109429,0,35.0,38.0
0,15,27,21,1.3333333333333333,27,15,43,4.666666666666667,47007,84183,132782,143338,132782,0,0,0,0,0,47007,227521,35.0,34.666666666666664
1,42,37,58,2.7027027027027026,35,42,47,1.9523809523809523,0,0,450067,410534,504314,454711,501449,164878,450067,410534,214515,289833,34.0,38.666666666666664
1,31,25,52,3.32,25,32,33,1.8125,266460,62130,0,284479,488360,129584,116136,0,0,135967,266460,340226,37.333333333333336,33.0
0,18,26,22,1.5384615384615385,26,18,23,2.7222222222222223,167944,0,235820,294888,249688,0,0,433267,235820,230285,298568,0,38.0,36.0
